Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=-13.80mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.00uS

index,CH1_Voltage(mV)
1586,600.00
1587,80.00
1588,-360.00
1589,-840.00
1590,-1320.00
1591,-1680.00
1592,-1960.00
1593,-2080.00
1594,-2080.00
1595,-1960.00
1596,-1720.00
1597,-1480.00
1598,-1400.00
1599,-1320.00
1600,-1360.00
1601,-1320.00
1602,-1360.00
1603,-1360.00
1604,-1360.00
1605,-1400.00
1606,-1440.00
1607,-1400.00
1608,-1360.00
1609,-1200.00
1610,-960.00
1611,-520.00
1612,-80.00
1613,440.00
1614,880.00
1615,1320.00
1616,1680.00
1617,2000.00
1618,2120.00
1619,2080.00
1620,1960.00
1621,1680.00
1622,1560.00
1623,1360.00
1624,1400.00
1625,1320.00
1626,1360.00
1627,1320.00
1628,1400.00
1629,1360.00
1630,1480.00
1631,1400.00
1632,1440.00
1633,1400.00
1634,1280.00
1635,920.00
1636,640.00
1637,80.00
1638,-360.00
1639,-880.00
1640,-1320.00
1641,-1720.00
1642,-1960.00
1643,-2120.00
1644,-2080.00
1645,-1960.00
1646,-1720.00
1647,-1480.00
1648,-1400.00
1649,-1360.00
1650,-1360.00
1651,-1320.00
1652,-1360.00
1653,-1360.00
1654,-1400.00
1655,-1400.00
1656,-1440.00
1657,-1400.00
1658,-1360.00
1659,-1200.00
1660,-960.00
1661,-520.00
1662,-80.00
1663,360.00
1664,840.00
1665,1320.00
1666,1680.00
1667,2000.00
1668,2120.00
1669,2080.00
1670,1960.00
1671,1680.00
1672,1560.00
1673,1360.00
1674,1400.00
1675,1320.00
1676,1360.00
1677,1320.00
1678,1400.00
1679,1400.00
1680,1440.00
1681,1400.00
1682,1440.00
1683,1400.00
1684,1280.00
1685,920.00
1686,640.00
1687,80.00
1688,-360.00
1689,-840.00
1690,-1280.00
1691,-1680.00
1692,-1960.00
1693,-2080.00
1694,-2080.00
1695,-1960.00
1696,-1720.00
1697,-1480.00
1698,-1440.00
1699,-1320.00
1700,-1360.00
1701,-1320.00
1702,-1360.00
1703,-1360.00
1704,-1400.00
1705,-1400.00
1706,-1400.00
1707,-1400.00
1708,-1400.00
1709,-1240.00
1710,-920.00
1711,-520.00
1712,-80.00
1713,440.00
1714,840.00
1715,1360.00
1716,1680.00
1717,2040.00
1718,2120.00
1719,2080.00
1720,1960.00
1721,1760.00
1722,1560.00
1723,1360.00
1724,1400.00
1725,1320.00
1726,1360.00
1727,1320.00
1728,1400.00
1729,1400.00
1730,1440.00
1731,1400.00
1732,1440.00
1733,1360.00
1734,1280.00
1735,920.00
1736,640.00
1737,80.00
1738,-320.00
1739,-840.00
1740,-1280.00
1741,-1720.00
1742,-1960.00
1743,-2120.00
1744,-2080.00
1745,-1960.00
1746,-1680.00
1747,-1440.00
1748,-1440.00
1749,-1360.00
1750,-1360.00
1751,-1320.00
1752,-1360.00
1753,-1360.00
1754,-1360.00
1755,-1400.00
1756,-1440.00
1757,-1400.00
1758,-1360.00
1759,-1200.00
1760,-920.00
1761,-520.00
1762,-80.00
1763,440.00
1764,880.00
1765,1320.00
1766,1680.00
1767,2000.00
1768,2120.00
1769,2080.00
1770,1960.00
1771,1680.00
1772,1560.00
1773,1360.00
1774,1400.00
1775,1320.00
1776,1360.00
1777,1320.00
1778,1400.00
1779,1400.00
1780,1480.00
1781,1400.00
1782,1440.00
1783,1400.00
1784,1280.00
1785,920.00
1786,640.00
1787,120.00
1788,-360.00
1789,-840.00
1790,-1320.00
1791,-1680.00
1792,-1920.00
1793,-2080.00
1794,-2080.00
1795,-2000.00
1796,-1720.00
1797,-1480.00
1798,-1440.00
1799,-1360.00
1800,-1360.00
1801,-1360.00
1802,-1360.00
1803,-1400.00
1804,-1400.00
1805,-1400.00
1806,-1360.00
